segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-mostim	-mostime	facteurs de stimulation des colonies macrophages		Cilmostime	Facteurs de croissance stimulant la lignée macrophagique (Macrophage-Colony Stimulating Factor)
sulfa-	sulfa-	sulfonamides	anti-infectieux	Sulfacétamide (Sulfa-Bleu), Sulfaguanidine (Ganidon), Sulfaméthoxazole (Bactrim – Berlocid – Microcétim – Trimox – Trisium)	Sulfamides anti-infectieux
-sulfan	-sulfan	alkylants, méthanesulfonates	antinéoplasiques	Busulfan	Antinéoplasiques alkylants, type esters sulfoniques
-tacept	-tacept	récepteurs de l’antigène-4 cytotoxique T lymphocyte			
-tadine	-tadine	composés tricycliques, antagonistes des récepteurs de l’histamine H1 tricyclique			
-tant	-tant	antagonistes des récepteurs de la neurokinine (tachykinine)			
-tapide	-tapide	inhibiteurs de la protéine de transfert triglycéride microsome (MTP)			
-taxel	-taxel	dérivés des taxanes	antinéoplasiques cytotoxiques		
-tecan	-técan	inhibiteurs de la topo-isomérase I	antinéoplasiques cytotoxiques	Irinotécan (Campto)	Antinéoplasiques cytotoxiques, groupe des inhibiteurs de la topo-isomérase I (méthanesulfonates)
-tepa	-tépa	dérivés de la thiotépa	antinéoplasiques	Thiotépa (Thiotépa Lederle)	Antinéoplasiques alkylants, famille de l'éthylène-imines
-tepine	-tépine	composés tricycliques			
-teplase	-téplase	activateurs du plasminogène de type tissulaire		Alteplase (Actilyse)	Enzymes thrombolytiques activateurs du plasminogène tissulaire
-tercept	-tercept	récepteurs des facteurs de croissance transformés			
-termin	-termine	facteurs de croissance transformés			
-terol/-prenaline/-terenol	-térol/-prénaline/-térénol	bêta-2-stimulants, agonistes bêta-2 adrénergiques, dérivés de la phénéthylamine	antiasthmatiques, bronchodilatateurs, BPCO	Fénotérol (Bérotec), Pirbutérol (Maxair Autohaler), Salmétérol (Sérévent)	Bronchodilatateurs ou stimulants cardiaques bêta-sympathomimétiques, dérivées de la phényléthylamine (isoprénaline, synonyme d'isoprotérénol)
-terone	-térone	antiandrogènes stéroïdiens	anticancéreux	Cyprotérone (Androcur – Climène - Diane)	Anti-androgènes
-teronel	-téronel	antiandrogènes non stéroïdiens		---	Antiandrogènes non stéroïdiens
-thiazide/-tizide	-thiazide/-tizide	thiazidiques	diurétiques	Altizide (Aldactazine),Hydrochlorothiazide (Acuilix – Capozide – Co-Rénitec – Moduretic – Prestole)	Diurétiques thiazidiques hypokaliémiants
-thiouracil	-thiouracil	dérivés de l’uracil utilisés comme antagonistes de la thyroïde			
-tiazem	-tiazem	dérivés du diltiazem	bloqueurs des canaux calciques		
-tiban	-tiban	antagonistes des récepteurs bradykinine	œdèmes angioneurotiques héréditaires		
-tide	-tide	peptides et glycopeptides	hypoglycémiants, antiostéoporose, analogues somatostatine		
-tidine	-tidine	antihistaminiques H2	antiulcéreux	Cimétidine (Antagon-H2 – Tagamet – Ulcemat – Ulcestop), Famotidine (Digervin – Famotid – Servipep – Ulcidine), Nizatidine (Axid), Ranitidine (Azantac – Ranimat – Ranitil – Zantac)	Antiulcéreux antagonistes des récepteurs H2 de l'histamine
-tinib	-tinib	inhibiteurs de la tyrosine kinase	anticancéreux	Lenvatinib	---
-tocine	-tocine			Oxytocine (Syntocinon)	Peptides ocytociques du type de l'ocytocine
-toïne	-toïne			Phénytoïne (Di-Hydan)	Antiépileptiques dérivés de l'hydantoïne
-toran	-toran			---	Antagonistes des récepteurs Toll-like 4 (TLR4)
-trexate	-trexate	antagonistes de l’acide folique	antinéoplasiques	Méthotrexate (Ledertrexate – Méthotrexate)	Antinéoplasiques antimétabolites, analogues de l'acide folique
-tricine	-tricine			Tyrothricine (Codétricine – Veybirol)	Antibiotiques polyéniques
-trigine	-trigine			---	Antagonistes des canaux sodiques
-triptan	-triptan	agonistes 5HT1D	antimigraineux		
-triptyline/-tiline/-tyline	-triptyline/-tiline/-tyline			Amitriptyline (Limbitrol – Laroxyl), Maprotiline (Ludiomil)	Dérivés du dibenzocycloheptane, généralement antidépresseurs
-troban	-troban	inhibiteurs des récepteurs A2 du thromboxane	antithrombotiques		
-trop/-trop-	-trop/-trop-	atropiniques	nombreuses	Tropicamide (Mydriaticum)	Dérivés de l'atropine, généralement anti-cholinergiques
-udine	-udine	dérivés de l’uridine	antiviraux, antinéoplasiques	Lamivudine (Dovato – Epivir – Kivexa – Triumeq – Zeffix), Zidovudine (Combivir – Rétrovir – Trizivir)	Dérivés de l'uridine à propriétés antivirales et antinéoplasiques
-uracil	-uracile	dérivés de l’uracile		Propyl-Thiouracile	Dérivés de l'uracile utilisés comme antagonistes thyroïdiens
-uracil	-uracile	dérivés de l’uracile	antinéoplasiques	Fluorouracile (Fluoro-Uracil)	Antinéoplasiques
-uridin	-uridine			Idoxuridine, Trifluridine (Virophta)	Antivirales et antinéoplasiques, dérivés de l'uridine
-vaptan	-vaptan	antagonistes de la vasopressine	antihyponamétriants		
-vastatine	-vastatine	inhibiteurs de l’HMG-CoA réductase	hypolipidémiants	Atorvastatine (Tahor), Pravastatine (Elisor), Simvastatine (Zocor)	Inhibiteurs de l'HMG-CoA réductase (Statines hypocholestérolémiantes)
-vérine	-vérine	spasmolytiques non anticholinergiques	antalgiques, antispasmodiques	Alvérine (Météospasmyl – Spasmavérine), Drotavérine (No-Spa), Fénovérine (Ex-Spasmopriv), Mébévérine (Béviran – Duspatalin – Mébévérine Forte)	Spasmolytiques non atropiniques agissant comme la papavérine
-vet-	-vet-			---	Anticorps monoclonaux à usage vétérinaire
vin-/-vin-	vin-/-vin-	alcaloïdes de la pervenche Vinca	cytostatiques, vasodilatateurs cérébraux	Vincamine (Pervincamine)	Alcaloïdes de la pervenche Vinca
vin-/-vin-	vin-/-vin-	alcaloïdes de la pervenche Vinca	cytostatiques, vasodilatateurs cérébraux	Vinblastine (Velbé), Vincristine (Oncovin), Vindésine (Eldésine)	Alcaloïdes de la pervenche tropicale
-vir	-vir	antiviraux	anti-infectieux	Aciclovir (Aciclosine – Cicloviral – Cusiviral – Zovirax), Ganciclovir (Cymevène)	Antiviraux divers
-amivir	-amivir	inhibiteurs de la neuraminidase	antiviraux	Oseltamivir (Tamiflu), Zanamivir (Relenza)	Inhibiteurs de la neuraminidase
-asvir	-asvir	inhibiteurs de la protéine NS5A du virus de l’hépatite C (HCV)	antiviraux		
-buvir	-buvir	inhibiteurs de la protéine NS5B ARN polymérase	anti-infectieux (hépatite C)	Sofosbuvir (Epclusa – Harvoni – PrEP – Sovaldi – Vosevi)	
-cavir	-cavir	nucléosides carbocycliques		Abacavir	Nucléosides carbocycliques
-ciclovir	-ciclovir	hétérocycliques bicycliques antiviraux	anti-infectieux		
-fovir	-fovir	dérivés de l’acide phosphonique	antiviraux	Tenofovir (Atripla – Biktarvy – Descovy – Eviplera – Genvoya – Odefsey – Stribild – Truvada – Viread)	
-gosivir	-gosivir	inhibiteurs de la glucoside			
-navir	-navir	inhibiteurs de la protéase du VIH	antirétroviraux	Indinavir (Crixivan), Saquinavir (Invirase), Lopinavir (Kaletra), Ritonavir (Norvir), Darunavir, Tipranavir, Remdésivir	Inhibiteurs de la protéase du VIH
-previr	-previr	inhibiteurs de la protéase de l’hépatite virus C (HVC)			
-vudine	-vudine	analogues nucléosidiques	antirétroviraux	---	Antivirales antinéoplasiques type zidovudine
-xaban	-xaban	inhibiteurs directs du facteur Xa	antithrombotiques		
-yzine/–izine	-yzine/–izine			Hydroxyzine (Atarax)	Certains composés du groupe des cyclizines
-zapine	-zapine	neuroleptiques atypiques	antipsychotiques		
-zomib	-zomib	inhibiteurs du protéasome	myélome		
