segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-nertant	-nertant	antagonistes de la neurotensine			
-netant	-netant	antagonistes des récepteurs de la neurokinine NK3			
-netide	-nétide			---	Peptides et glycopeptides dont les utilisations neurologiques sont revendiquées
-nicate	-nicate	esters d’acide nicotinique	antihypercholestérolémiques, vasodilatateurs		
-nicline	-nicline	agonistes (partiels) des récepteurs nicotiniques de l’acétylcholine			
nico-/nic-/ni-	nico-/nic-/ni-	dérivés de l’alcool nicotinoyl ou de l’acide nicotinique			
-nidazole	-nidazole	dérivés des nitro-5-imidazolés	antifongiques	Métronidazole (Flagyl – Nidazol – Rodogyl – Rosex), Ornidazole (Tibéral), Secnidazole (Flagentyl), Tinidazole (Fasigyne – Trichogin)	Anti-infectieux et anti-parasitaires à noyau imidazole
nifur-	nifur-	dérivés des 5-nitrofuran	anti-infectieux, antiseptiques intestinaux	Nifurazide (Ricridène), Nifuroxazide (Ambatrol – Antinal - Apazide – Entéral - Ercéfuryl – Panfurex – Roxid)	Nitrofuranes anti-infectieux , antiseptiques intestinaux
-nil					
nitro-/nitr-/nit-/ni-/-ni-	nitro-/nitr-/nit-/ni-/-ni-	dérivés du dioxyde d’azote (NO2)			
-nixin	-nixine	dérivés de l’acide anilinonicotinique	anti-inflammatoires		
-ol	-ol	pour les alcools et phénols (supprimé des principes généraux du 14ème rapport)			
-olol/-alol	-olol/-alol	antagonistes des bêta-adrénrgiques	antihypertenseurs, antiangoreux, antiarythmiques	Acébutolol (Sectral), Aténolol (Ténormine), Bétaxolol (Bétoptic – Kerlone), Béfunolol (Bentos), Bisoprolol (Detentiel – Soprol), Cartéolol (Cartéol), Métoprolol (Lopresor), Propranolol (Avlocan – Avlocardyl), Timolol (Cusimolol – Timoptol), Labétalol (Trandate), Sotalol (Sotalex) 	Bêta-bloqueurs (antagonistes des récepteurs bêta-adrénergiques)
-olone	-olone			Triamcinolone (Cidermex – Kénacort – Mycolog – Nasacort)	Corticostéroïdes dérivés de la prednisone ou de la prednisolone
-ones	-ones	kétones			
-onide	-onide	dérivés de l’actétonide	stéroïdes en usage topique	Acétonide De Triamcinolone (Cidermex – Mycolog), Budésonide (Pulmicort)	Acétonides utilisés en corticothérapie topique
-onidine/-nidine	-onidine/-nidine	dérivés de la colnidine	antihypertenseurs, antiglaucomateux	Apraclonidine (Iopidine), Clonidine (Catapressan)	Antihypertenseurs, guanidines à noyau imidazolidine
-onium	-onium	composés ammonium quaternaires			
-opamine	-opamine	dérivés de la dopamine et agents dopaminergiques	antihypertenseurs, diurétiques, stimulants cardiaques		
-oprost	-oprost	analogues des prostaglandines		Dinoprostone (Prépidil), Latanoprost (Xalatan)	
-orex	-orex	dérivés de la phenyléthylamine	anorexigènes	Fenproporex (Perphoxène)	Anorexigènes amphétaminiques, dérivés de la phenyléthylamine
-orph-	-orph-	antagonistes ou agonistes des récepteurs morphiniques		Buprénorphine(Temgésic)	Stupéfiants, agonistes ou antagonistes des récepteurs morphiniques
-orphan-	-orphan-	dérivés du morphiane, antagonistes ou agonistes des récepteurs morphiniques 		Dextrométhorphane (Akindex, Drill Toux-Sèche)	Stupéfiants, dérivés du morphinane, agonistes ou antagonistes des récepteurs morphiniques
-otermin	-otermine	protéines morphogénétiques de l’os			
-ox/-alox	-ox/-alox	dérivés des alimuniums	antiacides		
-oxacine	-oxacine	quinolones	anti-infectieux	Enoxacine (Enoxor)	Quinolones vraies, dérivés de l'acide nalidixique
-oxan(e)	-oxan(e)	dérivés de la benzodioxane			
-oxanide	-oxanide	analogues des salicylanilides	antiparasitaires		
-oxef	-oxef	dérivés des oxacéphalosporines	antibiotiques	Latamoxef	Antibiotiques du groupe des oxacéphalosporines
-oxepin	-oxépine	composés tricycliques à noyau oxépine	antidépresseurs	Doxépine	Antidépresseurs tricycliques à noyau oxépine
-oxetine	-oxétine	dérivés de la fluoxétine, inhibiteurs de la recapture de la sérotonine	antidépresseurs, antalgiques spécifiques	Fluoxétine (Fluoxet - Prozac – Tunéluz), Paroxétine (Déroxat)	Antidepresseurs sérotoninergiques purs dérivés de la fluoxétine
-oxicam	-oxicam	dérivés de l’isoxicam	anti-inflammatoires		
-oxifene	-oxifène	dérivés du clomifène et du tamoxifène	anti-œstrogènes		
-oxopine	-oxopine	composés tricycliques			
-pafant	-pafant	antagonistes des facteurs d’activation plaquettaire			
-pamide	-pamide	diurétiques, dérivés de l’acide sulfamoylbenzoïque	antiœdémateux, antihypertenseurs	Indapamide (Fludex – Diurimat), Xipamide (Diurex)	Diurétiques hypokaliémiants, dérivés de l'acide sulfamoylbenzoïque
-pamil	-pamil	dérivés du vérapamil, bloqueurs des canaux calciques 	antiarythmiques, vasodilatateurs	---	Antiarythmiques et vasodilatateurs coronariens, dérivés du vérapamil
-parcin	-parcine	antibiotiques glycopeptides			
-parib	-parib	inhibiteurs de la polymérase poly-ADP-ribose			
